embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,9,,23.428804,10.117971,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,10,,22.133293,9.358831,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,13,,21.4676,13.619883,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,16,,23.24152,9.97093,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,17,,22.556898,10.267769,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,19,,18.5652,13.246699,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,21,,20.157133,12.728476,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,22,,17.938898,13.904265,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,24,,17.92064,13.008574,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,29,,23.203281,9.976705,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,35,,21.882555,13.553934,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,37,,22.294376,9.488023,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,38,,21.042492,9.73898,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,39,,16.727066,13.370375,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,40,,17.946129,13.405943,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,42,,22.977934,13.281099,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,46,,17.650799,13.958428,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,49,,22.30291,12.43232,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,51,,21.845074,11.845825,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,53,,22.388561,11.97302,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,58,,23.16816,11.949982,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,65,,22.762238,10.528921,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,66,,22.456768,12.951023,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,70,,22.021847,12.728326,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,82,,21.49551,11.436621,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,84,,22.539244,12.3802395,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,87,,21.56254,13.05534,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,88,,22.755865,12.727544,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,89,,22.426523,12.234329,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,90,,22.041529,12.444213,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,91,,21.404453,11.238293,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,92,,20.97082,10.199688,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,93,,21.925632,11.670929,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,94,,22.834368,12.399832,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,95,,20.94621,10.607383,3.0944344997406006,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.09",False
