topic_id,density
-1,3.0944344997406006
0,0.5362343788146973
1,0.5601306557655334
2,0.4309285283088684
3,0.42166605591773987
4,0.43874868750572205
5,0.6543095111846924
6,0.5299478769302368
7,0.11738673597574234
8,0.40530362725257874
9,0.5630768537521362
10,0.19832485914230347
11,0.31509289145469666
12,0.2031041830778122
13,0.33103564381599426
14,0.359161376953125
15,0.39637312293052673
16,0.7741404175758362
17,0.398303747177124
18,0.15086150169372559
19,0.2146359235048294
20,0.25650328397750854
21,0.31843170523643494
22,1.0234888792037964
23,0.3060837984085083
24,0.2024640142917633
25,0.2497290074825287
26,0.2487197369337082
27,0.4000990688800812
28,0.3776596784591675
29,1.9270442724227905
30,0.30738288164138794
31,0.13184687495231628
32,0.2948686182498932
33,0.11246011406183243
34,0.2589721083641052
