topic_id,density
-1,2.7344415187835693
0,0.5544389486312866
1,0.626210629940033
2,0.29885202646255493
3,0.8161907196044922
4,0.4318506121635437
5,0.6673324108123779
6,0.4397444725036621
7,0.6839255094528198
8,0.5706377029418945
9,0.6753095388412476
10,0.37620389461517334
11,0.49769702553749084
12,0.28270527720451355
13,0.46883660554885864
14,0.48761385679244995
15,0.2285163402557373
16,0.6471139192581177
17,0.28951629996299744
18,0.7953529357910156
19,0.37328577041625977
20,0.5058167576789856
21,0.20798413455486298
22,0.25510039925575256
23,0.309234082698822
24,0.15000730752944946
25,0.6429046392440796
26,0.20143845677375793
27,0.6125281453132629
28,0.3370071053504944
29,1.6440544128417969
30,0.15701274573802948
31,0.38833197951316833
32,0.657171905040741
33,0.2506323456764221
