topic_id,density
-1,3.568258047103882
0,1.202856183052063
1,0.30586424469947815
2,0.3479512631893158
3,0.4725119471549988
4,0.1622707098722458
5,0.2428964376449585
6,0.20915992558002472
7,0.7079417109489441
8,0.1764349490404129
9,0.21594607830047607
10,0.27241408824920654
11,0.26784446835517883
12,0.20156271755695343
13,0.41904667019844055
14,0.3266340494155884
15,0.19437462091445923
16,0.1732492595911026
17,0.2809266746044159
18,0.4609448313713074
19,0.18271203339099884
20,0.1697973757982254
21,0.290583997964859
22,0.40039998292922974
23,0.17066718637943268
24,0.05880594253540039
25,0.24777701497077942
26,0.15458008646965027
27,0.4361528158187866
28,0.2533487379550934
29,0.1925445795059204
30,1.2638354301452637
31,0.10158874839544296
32,0.2530854046344757
33,0.15347464382648468
34,0.3329490125179291
35,0.2882104218006134
36,0.14865227043628693
37,0.09383746981620789
38,0.06519343703985214
39,0.13971026241779327
40,0.13166387379169464
41,0.1702725738286972
42,0.1307208240032196
43,0.11287755519151688
44,0.2302151471376419
45,0.2062520533800125
46,0.10213024169206619
47,0.1272810995578766
48,0.14629141986370087
49,0.16929486393928528
50,0.31518739461898804
51,0.27864405512809753
52,0.10214773565530777
53,0.1939118355512619
54,0.25497347116470337
55,0.255626916885376
56,0.26381322741508484
