topic_id,density
-1,3.0331478118896484
0,0.47797539830207825
1,0.3553304374217987
2,0.5469659566879272
3,0.3232775628566742
4,0.28124022483825684
5,0.4650070369243622
6,0.2687790095806122
7,0.15073786675930023
8,0.41763922572135925
9,0.08019363880157471
10,0.11480468511581421
11,0.2554559111595154
12,0.3552265465259552
13,0.30281826853752136
14,0.4092026352882385
15,0.6605796813964844
16,0.37270933389663696
17,0.264177143573761
18,0.3962368071079254
19,0.22046732902526855
20,0.2556033134460449
21,0.29969003796577454
22,0.21046048402786255
23,0.1449345499277115
24,0.2589797079563141
25,0.26912644505500793
26,0.3849431872367859
27,0.18673446774482727
28,0.20848014950752258
29,0.22179892659187317
30,0.2341756671667099
31,0.80854731798172
32,0.15812253952026367
33,0.20561282336711884
34,0.17619651556015015
35,0.1806403249502182
36,0.2192261964082718
37,0.16353905200958252
38,0.16311554610729218
39,0.25019994378089905
40,0.14870162308216095
41,0.2232304960489273
42,0.12228479981422424
43,0.28297626972198486
44,0.1109681949019432
45,0.24313880503177643
46,0.23320214450359344
47,0.3593975305557251
48,0.15439541637897491
49,0.29767414927482605
50,0.15234936773777008
51,0.1613219827413559
52,0.16998335719108582
53,0.20408634841442108
54,0.14411619305610657
55,0.14193709194660187
56,0.3536629378795624
57,0.23241941630840302
58,0.0963442251086235
59,0.43911781907081604
60,0.2994699776172638
61,0.20890489220619202
62,0.20990712940692902
63,0.8419701457023621
64,0.2670579254627228
65,0.13085225224494934
66,0.09506901353597641
67,0.09642163664102554
